=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n298/Vrp-Set-X-n298-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 43 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 297 CLIENTS AND 43 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.43 | Feas 60 35738.04 36024.30 | NO-INFEASIBLE | Div 0.58 -1.00 | Feas 1.00 1.00 | Pen 116.96 0.85
It    500     75 | T(s) 1.60 | Feas 43 34844.32 35258.11 | Inf 33 35036.66 35323.33 | Div 0.49 0.51 | Feas 0.33 1.00 | Pen 51.90 0.38
It   1000    143 | T(s) 2.96 | Feas 40 34703.87 34880.40 | Inf 42 34647.40 34872.98 | Div 0.45 0.43 | Feas 0.24 1.00 | Pen 44.11 0.17
It   1500    130 | T(s) 4.15 | Feas 45 34485.06 34628.62 | Inf 25 34478.95 34843.95 | Div 0.33 0.47 | Feas 0.20 1.00 | Pen 37.50 0.10
It   2000    354 | T(s) 5.26 | Feas 34 34454.04 34552.89 | Inf 28 34463.19 34641.68 | Div 0.33 0.41 | Feas 0.15 1.00 | Pen 44.99 0.10
It   2500     11 | T(s) 6.32 | Feas 53 34371.66 34432.71 | Inf 48 34370.36 34404.69 | Div 0.22 0.21 | Feas 0.26 1.00 | Pen 32.51 0.10
It   3000     80 | T(s) 7.37 | Feas 42 34366.07 34413.95 | Inf 45 34353.60 34391.13 | Div 0.27 0.24 | Feas 0.13 1.00 | Pen 39.79 0.10
It   3500     85 | T(s) 8.38 | Feas 29 34340.63 34413.99 | Inf 61 34342.92 34368.60 | Div 0.31 0.20 | Feas 0.31 1.00 | Pen 41.40 0.10
It   4000    302 | T(s) 9.39 | Feas 54 34329.07 34352.96 | Inf 54 34336.05 34355.55 | Div 0.19 0.20 | Feas 0.13 1.00 | Pen 42.23 0.10
It   4500     43 | T(s) 10.36 | Feas 30 34315.35 34360.53 | Inf 29 34325.81 34351.51 | Div 0.25 0.23 | Feas 0.20 1.00 | Pen 36.61 0.10
It   5000    240 | T(s) 11.36 | Feas 63 34309.84 34334.22 | Inf 51 34309.88 34334.16 | Div 0.18 0.17 | Feas 0.15 1.00 | Pen 44.81 0.10
It   5500     53 | T(s) 12.33 | Feas 48 34308.48 34327.70 | Inf 32 34303.92 34317.12 | Div 0.18 0.13 | Feas 0.22 1.00 | Pen 38.85 0.10
It   6000    227 | T(s) 13.32 | Feas 39 34308.00 34326.41 | Inf 61 34298.75 34306.22 | Div 0.17 0.10 | Feas 0.20 1.00 | Pen 33.68 0.10
It   6500      6 | T(s) 14.28 | Feas 37 34307.60 34322.98 | Inf 61 34305.78 34314.01 | Div 0.17 0.10 | Feas 0.15 1.00 | Pen 41.23 0.10
It   7000    242 | T(s) 15.26 | Feas 30 34288.70 34330.07 | Inf 41 34292.12 34313.66 | Div 0.20 0.14 | Feas 0.15 1.00 | Pen 35.75 0.10
It   7500    413 | T(s) 16.21 | Feas 36 34288.30 34312.72 | Inf 63 34276.52 34293.43 | Div 0.16 0.10 | Feas 0.19 1.00 | Pen 30.38 0.10
It   8000    913 | T(s) 17.25 | Feas 38 34288.30 34300.51 | Inf 49 34277.12 34303.55 | Div 0.11 0.15 | Feas 0.15 1.00 | Pen 30.99 0.10
It   8500   1413 | T(s) 18.17 | Feas 47 34288.30 34291.77 | Inf 30 34272.47 34290.92 | Div 0.04 0.14 | Feas 0.24 1.00 | Pen 26.34 0.10
It   9000     35 | T(s) 19.08 | Feas 37 34286.14 34292.38 | Inf 52 34272.47 34276.79 | Div 0.07 0.07 | Feas 0.22 1.00 | Pen 26.34 0.10
It   9500    535 | T(s) 19.98 | Feas 25 34286.14 34368.25 | Inf 26 34272.47 34281.77 | Div 0.15 0.11 | Feas 0.24 1.00 | Pen 26.34 0.10
It  10000   1035 | T(s) 20.93 | Feas 49 34286.14 34300.29 | Inf 59 34279.55 34444.39 | Div 0.11 0.19 | Feas 0.02 1.00 | Pen 27.41 0.10
It  10500   1535 | T(s) 21.88 | Feas 61 34286.14 34288.06 | Inf 34 34187.85 34289.08 | Div 0.04 0.23 | Feas 0.22 1.00 | Pen 23.76 0.10
It  11000   2035 | T(s) 22.98 | Feas 39 34286.14 34292.37 | Inf 38 34281.14 34386.42 | Div 0.09 0.25 | Feas 0.17 1.00 | Pen 28.51 0.10
It  11500    131 | T(s) 23.96 | Feas 37 34285.92 34288.23 | Inf 62 34238.46 34286.11 | Div 0.05 0.19 | Feas 0.21 1.00 | Pen 24.24 0.10
It  12000    631 | T(s) 25.08 | Feas 52 34285.92 34288.66 | Inf 55 34298.47 34350.09 | Div 0.05 0.17 | Feas 0.20 1.00 | Pen 29.08 0.10
It  12500   1131 | T(s) 26.19 | Feas 29 34285.92 34298.37 | Inf 58 34291.66 34372.02 | Div 0.10 0.21 | Feas 0.20 1.00 | Pen 30.26 0.10
It  13000   1631 | T(s) 27.23 | Feas 32 34285.92 34290.20 | Inf 58 34278.78 34357.15 | Div 0.07 0.17 | Feas 0.17 1.00 | Pen 26.23 0.10
It  13500   2131 | T(s) 28.29 | Feas 36 34285.92 34289.29 | Inf 65 34314.73 34424.08 | Div 0.06 0.23 | Feas 0.18 1.00 | Pen 27.29 0.10
It  14000   2631 | T(s) 29.35 | Feas 28 34285.92 34298.46 | Inf 27 34286.61 34443.71 | Div 0.11 0.26 | Feas 0.14 1.00 | Pen 33.41 0.10
