=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-M-n151/Vrp-Set-M-n151-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 18 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 150 CLIENTS AND 18 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.16 | Feas 54 1044.78 1061.86 | Inf 11 1047.16 1076.42 | Div 0.41 0.48 | Feas 0.89 1.00 | Pen 1.90 0.85
It    500    110 | T(s) 0.65 | Feas 46 1034.64 1042.28 | Inf 45 1033.07 1040.69 | Div 0.33 0.32 | Feas 0.44 1.00 | Pen 0.84 0.38
It   1000    459 | T(s) 1.14 | Feas 29 1032.59 1042.22 | Inf 58 1029.54 1032.56 | Div 0.37 0.24 | Feas 0.16 1.00 | Pen 0.73 0.17
It   1500    221 | T(s) 1.65 | Feas 55 1029.32 1034.16 | Inf 64 1026.29 1029.50 | Div 0.26 0.22 | Feas 0.24 1.00 | Pen 0.62 0.10
It   2000    449 | T(s) 2.17 | Feas 56 1028.78 1032.15 | Inf 51 1025.33 1028.90 | Div 0.23 0.26 | Feas 0.21 1.00 | Pen 0.62 0.10
It   2500    452 | T(s) 2.70 | Feas 41 1028.42 1030.46 | Inf 29 1025.20 1029.77 | Div 0.19 0.29 | Feas 0.17 1.00 | Pen 0.63 0.10
It   3000    952 | T(s) 3.22 | Feas 32 1028.42 1030.06 | Inf 53 1021.26 1024.73 | Div 0.17 0.20 | Feas 0.27 1.00 | Pen 0.54 0.10
It   3500   1452 | T(s) 3.76 | Feas 31 1028.42 1029.83 | Inf 52 1021.66 1024.36 | Div 0.17 0.18 | Feas 0.27 1.00 | Pen 0.55 0.10
It   4000   1952 | T(s) 4.27 | Feas 37 1028.42 1029.40 | Inf 44 1021.66 1023.09 | Div 0.12 0.14 | Feas 0.18 1.00 | Pen 0.55 0.10
It   4500   2452 | T(s) 4.80 | Feas 25 1028.42 1030.70 | Inf 35 1021.66 1022.76 | Div 0.20 0.13 | Feas 0.18 1.00 | Pen 0.55 0.10
It   5000   2952 | T(s) 5.32 | Feas 26 1028.42 1033.04 | Inf 62 1022.06 1023.84 | Div 0.27 0.15 | Feas 0.22 1.00 | Pen 0.56 0.10
