=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Li-n641/Vrp-Set-Li-n641-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 15 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 640 CLIENTS AND 15 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 4.70 | Feas 60 19139.20 19734.61 | NO-INFEASIBLE | Div 0.34 -1.00 | Feas 1.00 1.00 | Pen 27.20 0.85
It    500      2 | T(s) 11.40 | Feas 27 18818.93 18874.89 | NO-INFEASIBLE | Div 0.20 -1.00 | Feas 1.00 1.00 | Pen 12.07 0.38
It   1000    406 | T(s) 16.67 | Feas 35 18803.53 18811.34 | NO-INFEASIBLE | Div 0.16 -1.00 | Feas 1.00 1.00 | Pen 5.35 0.17
It   1500    173 | T(s) 21.63 | Feas 43 18801.13 18803.54 | NO-INFEASIBLE | Div 0.13 -1.00 | Feas 1.00 1.00 | Pen 2.38 0.10
It   2000    673 | T(s) 26.20 | Feas 51 18801.13 18801.95 | NO-INFEASIBLE | Div 0.11 -1.00 | Feas 1.00 1.00 | Pen 1.05 0.10
It   2500    126 | T(s) 31.79 | Feas 31 18801.13 18803.87 | Inf 59 18848.22 18911.46 | Div 0.13 0.17 | Feas 0.79 1.00 | Pen 0.47 0.10
It   3000    346 | T(s) 38.45 | Feas 45 18801.13 18802.70 | Inf 56 18697.53 18716.12 | Div 0.12 0.15 | Feas 0.45 1.00 | Pen 0.21 0.10
It   3500    846 | T(s) 45.27 | Feas 26 18801.13 18802.99 | Inf 39 18581.89 18631.63 | Div 0.13 0.16 | Feas 0.24 1.00 | Pen 0.11 0.10
It   4000    261 | T(s) 53.46 | Feas 41 18801.13 18801.30 | Inf 28 18548.89 18640.43 | Div 0.10 0.19 | Feas 0.28 1.00 | Pen 0.11 0.10
It   4500    218 | T(s) 59.35 | Feas 56 18801.13 18801.81 | Inf 58 18492.03 18565.62 | Div 0.11 0.16 | Feas 0.16 1.00 | Pen 0.10 0.10
It   5000    718 | T(s) 65.15 | Feas 25 18801.13 18826.76 | Inf 34 18485.01 18569.37 | Div 0.14 0.18 | Feas 0.27 1.00 | Pen 0.10 0.10
It   5500   1218 | T(s) 71.17 | Feas 28 18801.13 18801.67 | Inf 33 18573.01 18605.88 | Div 0.11 0.17 | Feas 0.14 1.00 | Pen 0.12 0.10
It   6000   1718 | T(s) 77.49 | Feas 36 18801.13 18801.32 | Inf 45 18502.78 18530.24 | Div 0.10 0.15 | Feas 0.34 1.00 | Pen 0.10 0.10
It   6500   2218 | T(s) 83.64 | Feas 48 18801.13 18801.25 | Inf 29 18483.81 18519.47 | Div 0.09 0.16 | Feas 0.22 1.00 | Pen 0.10 0.10
It   7000   2718 | T(s) 90.02 | Feas 32 18801.13 18801.36 | Inf 58 18489.01 18518.32 | Div 0.09 0.15 | Feas 0.24 1.00 | Pen 0.10 0.10
It   7500   3218 | T(s) 95.99 | Feas 62 18801.13 18801.32 | Inf 33 18479.16 18515.29 | Div 0.08 0.16 | Feas 0.24 1.00 | Pen 0.10 0.10
It   8000   3718 | T(s) 102.39 | Feas 52 18801.13 18802.68 | Inf 56 18457.93 18500.95 | Div 0.12 0.15 | Feas 0.24 1.00 | Pen 0.10 0.10
