=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n284/Vrp-Set-X-n284-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 22 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 283 CLIENTS AND 22 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.71 | Feas 60 21132.23 21450.94 | NO-INFEASIBLE | Div 0.50 -1.00 | Feas 1.00 1.00 | Pen 88.88 0.85
It    500    379 | T(s) 2.75 | Feas 64 20974.09 21148.58 | Inf 56 20841.60 21047.10 | Div 0.45 0.48 | Feas 0.76 1.00 | Pen 39.43 0.38
It   1000     27 | T(s) 4.82 | Feas 41 20867.38 21033.07 | Inf 31 20418.59 20677.05 | Div 0.45 0.50 | Feas 0.34 1.00 | Pen 17.50 0.17
It   1500    194 | T(s) 6.99 | Feas 40 20709.47 21002.05 | Inf 64 20349.96 20470.27 | Div 0.47 0.41 | Feas 0.09 1.00 | Pen 18.20 0.10
It   2000    694 | T(s) 9.25 | Feas 48 20709.47 20956.92 | Inf 49 20350.06 20460.36 | Div 0.47 0.42 | Feas 0.22 1.00 | Pen 18.57 0.10
It   2500    420 | T(s) 11.39 | Feas 25 20593.64 20926.49 | Inf 39 20310.25 20448.05 | Div 0.51 0.43 | Feas 0.18 1.00 | Pen 18.57 0.10
It   3000    920 | T(s) 13.41 | Feas 39 20593.64 20810.81 | Inf 61 20288.21 20365.25 | Div 0.47 0.36 | Feas 0.31 1.00 | Pen 19.32 0.10
It   3500   1420 | T(s) 15.55 | Feas 50 20593.64 20804.49 | Inf 46 20267.00 20355.36 | Div 0.46 0.37 | Feas 0.19 1.00 | Pen 19.70 0.10
It   4000      6 | T(s) 17.57 | Feas 38 20503.33 20696.85 | Inf 28 20253.37 20378.34 | Div 0.45 0.41 | Feas 0.22 1.00 | Pen 19.70 0.10
It   4500    114 | T(s) 19.59 | Feas 61 20497.39 20649.54 | Inf 56 20225.80 20328.47 | Div 0.43 0.35 | Feas 0.23 1.00 | Pen 19.70 0.10
It   5000    148 | T(s) 21.62 | Feas 48 20428.81 20645.49 | Inf 40 20227.77 20339.02 | Div 0.43 0.36 | Feas 0.29 1.00 | Pen 20.10 0.10
It   5500    648 | T(s) 23.61 | Feas 33 20428.81 20620.25 | Inf 59 20206.93 20302.16 | Div 0.43 0.32 | Feas 0.24 1.00 | Pen 20.10 0.10
It   6000   1148 | T(s) 25.62 | Feas 41 20428.81 20649.71 | Inf 50 20196.81 20267.07 | Div 0.43 0.27 | Feas 0.19 1.00 | Pen 20.10 0.10
It   6500   1648 | T(s) 27.57 | Feas 54 20428.81 20592.33 | Inf 38 20196.77 20286.96 | Div 0.40 0.31 | Feas 0.23 1.00 | Pen 20.10 0.10
It   7000   2148 | T(s) 29.58 | Feas 34 20428.81 20612.06 | Inf 64 20197.98 20253.58 | Div 0.43 0.25 | Feas 0.21 1.00 | Pen 20.50 0.10
It   7500   2648 | T(s) 31.52 | Feas 54 20428.81 20555.54 | Inf 57 20186.94 20275.38 | Div 0.38 0.28 | Feas 0.25 1.00 | Pen 24.60 0.10
It   8000    457 | T(s) 33.45 | Feas 34 20415.69 20549.80 | Inf 37 20177.13 20292.81 | Div 0.40 0.34 | Feas 0.12 1.00 | Pen 21.33 0.10
It   8500    957 | T(s) 35.45 | Feas 55 20415.69 20515.07 | Inf 64 20179.71 20289.49 | Div 0.37 0.33 | Feas 0.14 1.00 | Pen 22.19 0.10
It   9000    442 | T(s) 37.38 | Feas 41 20389.41 20518.43 | Inf 41 20166.48 20266.23 | Div 0.39 0.33 | Feas 0.22 1.00 | Pen 22.19 0.10
It   9500     38 | T(s) 39.26 | Feas 39 20347.46 20525.95 | Inf 57 20146.06 20204.98 | Div 0.39 0.26 | Feas 0.29 1.00 | Pen 19.24 0.10
It  10000    538 | T(s) 41.22 | Feas 47 20347.46 20494.98 | Inf 53 20149.13 20189.73 | Div 0.37 0.24 | Feas 0.16 1.00 | Pen 19.62 0.10
It  10500    264 | T(s) 43.08 | Feas 56 20336.34 20443.01 | Inf 45 20150.21 20193.94 | Div 0.33 0.25 | Feas 0.20 1.00 | Pen 20.42 0.10
It  11000    764 | T(s) 44.99 | Feas 60 20336.34 20391.31 | Inf 41 20162.65 20237.89 | Div 0.25 0.29 | Feas 0.08 1.00 | Pen 24.99 0.10
It  11500   1264 | T(s) 46.86 | Feas 43 20336.34 20391.30 | Inf 57 20162.65 20196.88 | Div 0.28 0.22 | Feas 0.24 1.00 | Pen 24.99 0.10
It  12000   1764 | T(s) 48.68 | Feas 50 20336.34 20403.88 | Inf 40 20164.15 20222.66 | Div 0.29 0.28 | Feas 0.15 1.00 | Pen 25.49 0.10
It  12500   2264 | T(s) 50.59 | Feas 40 20336.34 20467.02 | Inf 25 20126.45 20321.49 | Div 0.34 0.36 | Feas 0.22 1.00 | Pen 21.67 0.10
It  13000    368 | T(s) 52.32 | Feas 29 20301.65 20411.41 | Inf 54 20127.75 20172.16 | Div 0.32 0.19 | Feas 0.28 1.00 | Pen 22.10 0.10
It  13500    868 | T(s) 54.06 | Feas 42 20301.65 20381.69 | Inf 29 20130.43 20181.77 | Div 0.28 0.24 | Feas 0.25 1.00 | Pen 22.99 0.10
It  14000   1368 | T(s) 55.71 | Feas 48 20301.65 20364.24 | Inf 27 20130.43 20166.00 | Div 0.26 0.20 | Feas 0.23 1.00 | Pen 22.99 0.10
It  14500   1868 | T(s) 57.38 | Feas 52 20301.65 20339.04 | Inf 29 20144.43 20176.82 | Div 0.20 0.19 | Feas 0.19 1.00 | Pen 28.14 0.10
It  15000     93 | T(s) 58.98 | Feas 32 20299.45 20442.18 | Inf 56 20124.52 20162.96 | Div 0.30 0.18 | Feas 0.28 1.00 | Pen 23.92 0.10
It  15500    270 | T(s) 60.66 | Feas 27 20266.82 20376.23 | Inf 45 20125.48 20170.71 | Div 0.28 0.21 | Feas 0.19 1.00 | Pen 24.40 0.10
It  16000    770 | T(s) 62.38 | Feas 57 20266.82 20348.53 | Inf 63 20118.16 20152.88 | Div 0.26 0.19 | Feas 0.19 1.00 | Pen 20.74 0.10
It  16500   1270 | T(s) 64.09 | Feas 40 20266.82 20373.99 | Inf 63 20127.45 20158.47 | Div 0.26 0.17 | Feas 0.31 1.00 | Pen 25.39 0.10
It  17000   1770 | T(s) 65.86 | Feas 60 20266.82 20337.74 | Inf 40 20120.70 20160.79 | Div 0.23 0.24 | Feas 0.21 1.00 | Pen 22.01 0.10
It  17500   2270 | T(s) 67.63 | Feas 46 20266.82 20326.75 | Inf 34 20121.58 20161.43 | Div 0.24 0.24 | Feas 0.19 1.00 | Pen 22.45 0.10
It  18000   2770 | T(s) 69.35 | Feas 47 20266.82 20322.22 | Inf 58 20122.47 20153.42 | Div 0.23 0.19 | Feas 0.21 1.00 | Pen 22.90 0.10
It  18500   3270 | T(s) 71.10 | Feas 39 20266.82 20376.20 | Inf 42 20116.38 20174.34 | Div 0.27 0.27 | Feas 0.27 1.00 | Pen 19.85 0.10
It  19000   3770 | T(s) 72.86 | Feas 58 20266.82 20318.14 | Inf 48 20122.06 20169.52 | Div 0.21 0.26 | Feas 0.11 1.00 | Pen 24.30 0.10
It  19500   4270 | T(s) 74.56 | Feas 54 20266.82 20310.65 | Inf 62 20112.63 20137.75 | Div 0.20 0.18 | Feas 0.23 1.00 | Pen 21.07 0.10
It  20000   4770 | T(s) 76.24 | Feas 29 20266.82 20319.93 | Inf 57 20113.47 20139.49 | Div 0.23 0.18 | Feas 0.21 1.00 | Pen 21.49 0.10
It  20500   5270 | T(s) 77.93 | Feas 49 20266.82 20314.74 | Inf 53 20122.07 20154.00 | Div 0.22 0.21 | Feas 0.13 1.00 | Pen 25.79 0.10
It  21000   5770 | T(s) 79.65 | Feas 46 20266.82 20318.81 | Inf 61 20115.21 20145.30 | Div 0.22 0.21 | Feas 0.31 1.00 | Pen 22.36 0.10
It  21500   6270 | T(s) 81.37 | Feas 60 20266.82 20316.03 | Inf 33 20113.88 20171.09 | Div 0.21 0.27 | Feas 0.25 1.00 | Pen 22.81 0.10
It  22000   6770 | T(s) 83.12 | Feas 53 20266.82 20332.79 | Inf 63 20114.79 20137.52 | Div 0.22 0.17 | Feas 0.15 1.00 | Pen 23.26 0.10
It  22500   7270 | T(s) 84.81 | Feas 35 20266.82 20334.29 | Inf 50 20115.72 20141.25 | Div 0.23 0.21 | Feas 0.17 1.00 | Pen 23.73 0.10
