=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-F-n45/Vrp-Set-F-n45-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 44 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.05 | Feas 49 723.54 729.28 | Inf 33 723.14 726.16 | Div 0.17 0.05 | Feas 0.67 1.00 | Pen 0.12 0.85
It    500    502 | T(s) 0.22 | Feas 50 723.54 728.75 | Inf 64 722.83 723.59 | Div 0.17 0.06 | Feas 0.43 1.00 | Pen 0.10 0.38
It   1000   1002 | T(s) 0.36 | Feas 30 723.54 736.15 | Inf 37 722.83 731.84 | Div 0.26 0.22 | Feas 0.56 1.00 | Pen 0.10 0.17
It   1500   1502 | T(s) 0.49 | Feas 35 723.54 735.11 | Inf 56 722.83 726.18 | Div 0.24 0.03 | Feas 0.55 1.00 | Pen 0.10 0.10
It   2000   2002 | T(s) 0.62 | Feas 31 723.54 737.20 | Inf 38 722.83 733.75 | Div 0.27 0.21 | Feas 0.53 1.00 | Pen 0.10 0.10
It   2500   2502 | T(s) 0.75 | Feas 42 723.54 732.16 | Inf 56 722.83 726.40 | Div 0.24 0.14 | Feas 0.52 1.00 | Pen 0.10 0.10
It   3000   3002 | T(s) 0.88 | Feas 39 723.54 731.34 | Inf 42 722.83 730.27 | Div 0.23 0.20 | Feas 0.56 1.00 | Pen 0.10 0.10
It   3500   3502 | T(s) 1.02 | Feas 39 723.54 732.14 | Inf 58 722.83 725.74 | Div 0.23 0.10 | Feas 0.54 1.00 | Pen 0.10 0.10
It   4000   4002 | T(s) 1.15 | Feas 25 723.54 744.77 | Inf 42 722.83 728.69 | Div 0.32 0.18 | Feas 0.51 1.00 | Pen 0.10 0.10
It   4500   4502 | T(s) 1.29 | Feas 29 723.54 738.67 | Inf 60 722.83 725.90 | Div 0.30 0.09 | Feas 0.53 1.00 | Pen 0.10 0.10
It   5000   5002 | T(s) 1.42 | Feas 34 723.54 733.31 | Inf 40 722.83 731.57 | Div 0.25 0.19 | Feas 0.53 1.00 | Pen 0.10 0.10
It   5500   5502 | T(s) 1.56 | Feas 47 723.54 730.99 | Inf 58 722.83 727.32 | Div 0.21 0.13 | Feas 0.47 1.00 | Pen 0.10 0.10
It   6000   6002 | T(s) 1.69 | Feas 53 723.54 728.12 | Inf 33 722.83 736.61 | Div 0.17 0.26 | Feas 0.61 1.00 | Pen 0.10 0.10
