=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n411/Vrp-Set-X-n411-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 27 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 410 CLIENTS AND 27 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 1.28 | Feas 59 20667.91 20813.67 | Inf 1 20757.23 20757.23 | Div 0.48 -nan | Feas 0.99 1.00 | Pen 10.44 0.85
It    500     31 | T(s) 4.91 | Feas 25 20056.73 20402.85 | Inf 58 20015.16 20108.62 | Div 0.48 0.41 | Feas 0.16 1.00 | Pen 5.45 0.38
It   1000    195 | T(s) 9.64 | Feas 60 19947.74 20046.54 | Inf 55 19871.38 19958.66 | Div 0.37 0.32 | Feas 0.25 1.00 | Pen 7.85 0.17
It   1500    216 | T(s) 13.92 | Feas 36 19888.50 19951.98 | Inf 57 19829.72 19878.14 | Div 0.33 0.27 | Feas 0.34 1.00 | Pen 6.81 0.10
It   2000    107 | T(s) 17.97 | Feas 32 19852.56 19934.70 | Inf 42 19788.26 19860.78 | Div 0.36 0.31 | Feas 0.31 1.00 | Pen 6.94 0.10
It   2500     91 | T(s) 22.09 | Feas 64 19827.76 19864.80 | Inf 25 19783.89 19864.42 | Div 0.27 0.31 | Feas 0.19 1.00 | Pen 7.08 0.10
It   3000    231 | T(s) 25.97 | Feas 45 19826.33 19855.19 | Inf 54 19784.84 19806.40 | Div 0.26 0.21 | Feas 0.29 1.00 | Pen 7.22 0.10
It   3500     34 | T(s) 29.91 | Feas 34 19816.91 19863.65 | Inf 51 19790.75 19814.78 | Div 0.29 0.23 | Feas 0.15 1.00 | Pen 8.67 0.10
It   4000    534 | T(s) 33.89 | Feas 34 19816.91 19842.81 | Inf 36 19781.53 19812.44 | Div 0.27 0.26 | Feas 0.17 1.00 | Pen 7.37 0.10
It   4500    381 | T(s) 37.86 | Feas 26 19815.10 19917.95 | Inf 64 19780.40 19798.63 | Div 0.36 0.23 | Feas 0.24 1.00 | Pen 7.37 0.10
It   5000    881 | T(s) 41.76 | Feas 64 19815.10 19854.03 | Inf 49 19774.48 19814.42 | Div 0.29 0.26 | Feas 0.19 1.00 | Pen 7.52 0.10
It   5500   1381 | T(s) 45.78 | Feas 27 19815.10 19892.80 | Inf 39 19769.51 19837.33 | Div 0.35 0.28 | Feas 0.22 1.00 | Pen 7.52 0.10
It   6000   1881 | T(s) 49.92 | Feas 41 19815.10 19872.30 | Inf 29 19769.86 19834.43 | Div 0.32 0.30 | Feas 0.09 1.00 | Pen 7.67 0.10
It   6500    124 | T(s) 54.03 | Feas 48 19809.20 19845.21 | Inf 47 19764.49 19787.85 | Div 0.31 0.24 | Feas 0.28 1.00 | Pen 6.65 0.10
It   7000    624 | T(s) 58.07 | Feas 27 19809.20 19886.76 | Inf 41 19771.73 19800.16 | Div 0.35 0.25 | Feas 0.14 1.00 | Pen 8.13 0.10
It   7500    460 | T(s) 62.12 | Feas 29 19801.56 19940.02 | Inf 62 19756.83 19792.45 | Div 0.37 0.24 | Feas 0.28 1.00 | Pen 7.05 0.10
It   8000    960 | T(s) 66.34 | Feas 59 19801.56 19854.48 | Inf 56 19756.83 19806.26 | Div 0.31 0.27 | Feas 0.16 1.00 | Pen 7.05 0.10
It   8500   1460 | T(s) 70.57 | Feas 34 19801.56 19874.95 | Inf 51 19758.24 19800.56 | Div 0.34 0.25 | Feas 0.14 1.00 | Pen 8.46 0.10
It   9000   1960 | T(s) 74.46 | Feas 62 19801.56 19852.03 | Inf 55 19755.43 19788.24 | Div 0.31 0.26 | Feas 0.28 1.00 | Pen 6.24 0.10
It   9500    112 | T(s) 78.37 | Feas 65 19793.07 19830.66 | Inf 53 19757.26 19791.31 | Div 0.28 0.25 | Feas 0.25 1.00 | Pen 7.48 0.10
It  10000    158 | T(s) 82.25 | Feas 53 19781.68 19821.70 | Inf 29 19757.56 19810.17 | Div 0.27 0.29 | Feas 0.34 1.00 | Pen 7.79 0.10
It  10500    363 | T(s) 86.16 | Feas 49 19761.61 19795.36 | Inf 57 19754.51 19777.08 | Div 0.23 0.22 | Feas 0.25 1.00 | Pen 7.94 0.10
It  11000    863 | T(s) 89.96 | Feas 46 19761.61 19800.82 | Inf 35 19754.67 19787.90 | Div 0.24 0.23 | Feas 0.22 1.00 | Pen 8.10 0.10
It  11500    255 | T(s) 93.74 | Feas 42 19759.34 19787.58 | Inf 52 19754.83 19772.35 | Div 0.21 0.20 | Feas 0.21 1.00 | Pen 8.26 0.10
It  12000    484 | T(s) 97.50 | Feas 57 19756.85 19783.12 | Inf 38 19754.99 19781.74 | Div 0.21 0.22 | Feas 0.12 1.00 | Pen 8.43 0.10
It  12500     43 | T(s) 101.27 | Feas 41 19753.71 19777.86 | Inf 55 19753.73 19765.61 | Div 0.21 0.19 | Feas 0.17 1.00 | Pen 7.16 0.10
It  13000    383 | T(s) 105.02 | Feas 46 19752.65 19771.67 | Inf 37 19746.65 19775.62 | Div 0.17 0.21 | Feas 0.20 1.00 | Pen 7.16 0.10
It  13500    883 | T(s) 108.86 | Feas 29 19752.65 19772.75 | Inf 31 19746.07 19771.61 | Div 0.18 0.21 | Feas 0.18 1.00 | Pen 7.16 0.10
It  14000   1383 | T(s) 112.47 | Feas 57 19752.65 19769.32 | Inf 59 19746.36 19763.48 | Div 0.16 0.16 | Feas 0.16 1.00 | Pen 7.31 0.10
It  14500   1883 | T(s) 116.08 | Feas 31 19752.65 19770.10 | Inf 59 19746.65 19753.63 | Div 0.19 0.12 | Feas 0.17 1.00 | Pen 7.45 0.10
It  15000   2383 | T(s) 119.70 | Feas 31 19752.65 19767.73 | Inf 52 19744.66 19757.72 | Div 0.18 0.12 | Feas 0.15 1.00 | Pen 8.94 0.10
It  15500    442 | T(s) 123.10 | Feas 43 19749.48 19756.87 | Inf 53 19741.60 19747.05 | Div 0.12 0.08 | Feas 0.27 1.00 | Pen 6.46 0.10
It  16000    386 | T(s) 126.61 | Feas 64 19747.62 19754.23 | Inf 36 19741.73 19757.14 | Div 0.11 0.16 | Feas 0.18 1.00 | Pen 6.59 0.10
It  16500    886 | T(s) 130.07 | Feas 44 19747.62 19755.64 | Inf 33 19743.21 19753.18 | Div 0.13 0.13 | Feas 0.13 1.00 | Pen 8.07 0.10
It  17000   1386 | T(s) 133.59 | Feas 46 19747.62 19754.63 | Inf 56 19742.28 19756.61 | Div 0.11 0.15 | Feas 0.10 1.00 | Pen 7.14 0.10
It  17500   1886 | T(s) 136.17 | Feas 49 19747.62 19758.41 | Inf 39 19742.28 19752.88 | Div 0.14 0.15 | Feas 0.25 1.00 | Pen 7.14 0.10
It  18000   2386 | T(s) 138.63 | Feas 62 19747.62 19752.46 | Inf 26 19737.11 19760.44 | Div 0.09 0.21 | Feas 0.29 1.00 | Pen 6.19 0.10
It  18500   2886 | T(s) 141.18 | Feas 36 19747.62 19756.43 | Inf 65 19742.71 19757.74 | Div 0.13 0.15 | Feas 0.18 1.00 | Pen 7.57 0.10
It  19000   3386 | T(s) 143.74 | Feas 36 19747.62 19766.52 | Inf 42 19740.71 19756.71 | Div 0.15 0.18 | Feas 0.30 1.00 | Pen 6.56 0.10
It  19500   3886 | T(s) 146.23 | Feas 42 19747.62 19754.54 | Inf 37 19738.60 19763.33 | Div 0.13 0.19 | Feas 0.09 1.00 | Pen 6.83 0.10
It  20000    144 | T(s) 148.75 | Feas 50 19746.56 19753.31 | Inf 65 19738.60 19749.67 | Div 0.12 0.14 | Feas 0.23 1.00 | Pen 6.83 0.10
It  20500    644 | T(s) 151.52 | Feas 31 19746.56 19761.20 | Inf 52 19738.87 19754.90 | Div 0.14 0.17 | Feas 0.29 1.00 | Pen 6.97 0.10
It  21000   1144 | T(s) 155.01 | Feas 60 19746.56 19751.49 | Inf 41 19741.42 19760.77 | Div 0.11 0.18 | Feas 0.15 1.00 | Pen 8.53 0.10
It  21500   1644 | T(s) 158.46 | Feas 53 19746.56 19755.19 | Inf 53 19738.86 19755.75 | Div 0.11 0.17 | Feas 0.20 1.00 | Pen 7.25 0.10
It  22000   2144 | T(s) 162.12 | Feas 56 19746.56 19755.24 | Inf 31 19739.15 19763.83 | Div 0.13 0.20 | Feas 0.22 1.00 | Pen 7.39 0.10
It  22500   2644 | T(s) 166.39 | Feas 41 19746.56 19756.21 | Inf 65 19739.45 19747.99 | Div 0.13 0.13 | Feas 0.22 1.00 | Pen 7.54 0.10
It  23000   3144 | T(s) 168.91 | Feas 57 19746.56 19750.68 | Inf 49 19737.44 19749.18 | Div 0.10 0.15 | Feas 0.17 1.00 | Pen 6.54 0.10
It  23500   3644 | T(s) 171.33 | Feas 25 19746.56 19769.43 | Inf 40 19737.97 19749.32 | Div 0.18 0.15 | Feas 0.18 1.00 | Pen 6.80 0.10
It  24000   4144 | T(s) 173.77 | Feas 34 19746.56 19754.83 | Inf 33 19738.24 19745.21 | Div 0.13 0.14 | Feas 0.18 1.00 | Pen 6.94 0.10
It  24500   4644 | T(s) 176.17 | Feas 41 19746.56 19759.53 | Inf 64 19738.52 19744.97 | Div 0.14 0.13 | Feas 0.27 1.00 | Pen 7.08 0.10
It  25000   5144 | T(s) 178.70 | Feas 65 19746.56 19756.00 | Inf 62 19740.49 19751.71 | Div 0.13 0.14 | Feas 0.22 1.00 | Pen 8.49 0.10
It  25500   5644 | T(s) 181.13 | Feas 29 19746.56 19757.53 | Inf 35 19738.80 19747.61 | Div 0.15 0.13 | Feas 0.23 1.00 | Pen 7.22 0.10
It  26000   6144 | T(s) 183.56 | Feas 64 19746.56 19757.68 | Inf 34 19739.38 19753.97 | Div 0.14 0.18 | Feas 0.06 1.00 | Pen 7.51 0.10
It  26500   6644 | T(s) 186.02 | Feas 27 19746.56 19765.68 | Inf 61 19739.66 19750.09 | Div 0.18 0.16 | Feas 0.17 1.00 | Pen 7.66 0.10
It  27000   7144 | T(s) 188.56 | Feas 32 19746.56 19762.63 | Inf 60 19739.82 19750.09 | Div 0.17 0.15 | Feas 0.12 1.00 | Pen 7.81 0.10
