=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-E-n22/Vrp-Set-E-n22-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 21 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.02 | Feas 60 375.28 378.25 | NO-INFEASIBLE | Div 0.12 -1.00 | Feas 1.00 1.00 | Pen 0.10 0.85
It    500    502 | T(s) 0.09 | Feas 61 375.28 378.42 | Inf 42 439.53 457.12 | Div 0.17 0.03 | Feas 0.69 1.00 | Pen 0.10 0.38
It   1000   1002 | T(s) 0.18 | Feas 38 375.28 401.59 | Inf 51 439.53 439.53 | Div 0.48 0.00 | Feas 0.75 1.00 | Pen 0.10 0.17
It   1500   1502 | T(s) 0.25 | Feas 36 375.28 399.52 | Inf 37 439.53 443.35 | Div 0.47 0.10 | Feas 0.81 1.00 | Pen 0.10 0.10
It   2000   2002 | T(s) 0.31 | Feas 26 375.28 416.29 | Inf 38 439.53 444.48 | Div 0.57 0.15 | Feas 0.88 1.00 | Pen 0.10 0.10
It   2500   2502 | T(s) 0.38 | Feas 63 375.28 381.95 | Inf 31 439.53 446.96 | Div 0.25 0.24 | Feas 0.78 1.00 | Pen 0.10 0.10
It   3000   3002 | T(s) 0.45 | Feas 41 375.28 392.58 | Inf 33 439.53 446.67 | Div 0.42 0.24 | Feas 0.72 1.00 | Pen 0.10 0.10
It   3500   3502 | T(s) 0.51 | Feas 34 375.28 400.01 | Inf 36 439.53 444.97 | Div 0.49 0.18 | Feas 0.72 1.00 | Pen 0.10 0.10
It   4000   4002 | T(s) 0.58 | Feas 31 375.28 404.09 | Inf 58 439.53 441.77 | Div 0.51 0.07 | Feas 0.78 1.00 | Pen 0.10 0.10
It   4500   4502 | T(s) 0.64 | Feas 64 375.28 378.25 | Inf 48 436.31 441.01 | Div 0.19 0.14 | Feas 0.79 1.00 | Pen 0.10 0.10
It   5000   5002 | T(s) 0.70 | Feas 50 375.28 383.99 | Inf 39 436.31 439.35 | Div 0.32 0.26 | Feas 0.82 1.00 | Pen 0.10 0.10
It   5500   5502 | T(s) 0.77 | Feas 52 375.28 381.88 | Inf 53 436.31 437.21 | Div 0.28 0.16 | Feas 0.80 1.00 | Pen 0.10 0.10
It   6000   6002 | T(s) 0.83 | Feas 50 375.28 383.22 | Inf 27 436.31 442.87 | Div 0.28 0.42 | Feas 0.75 1.00 | Pen 0.10 0.10
It   6500   6502 | T(s) 0.89 | Feas 49 375.28 386.60 | Inf 38 436.31 437.34 | Div 0.36 0.27 | Feas 0.81 1.00 | Pen 0.10 0.10
It   7000   7002 | T(s) 0.96 | Feas 53 375.28 386.24 | Inf 60 435.02 436.26 | Div 0.33 0.03 | Feas 0.82 1.00 | Pen 0.10 0.10
It   7500   7502 | T(s) 1.02 | Feas 61 375.28 377.26 | Inf 59 435.02 435.69 | Div 0.15 0.21 | Feas 0.81 1.00 | Pen 0.10 0.10
It   8000   8002 | T(s) 1.09 | Feas 61 375.28 382.15 | Inf 31 435.02 440.12 | Div 0.27 0.42 | Feas 0.83 1.00 | Pen 0.10 0.10
It   8500   8502 | T(s) 1.19 | Feas 55 375.28 382.21 | Inf 59 435.02 435.33 | Div 0.29 0.17 | Feas 0.74 1.00 | Pen 0.10 0.10
It   9000   9002 | T(s) 1.30 | Feas 53 375.28 382.60 | Inf 33 435.02 438.07 | Div 0.31 0.39 | Feas 0.74 1.00 | Pen 0.10 0.10
It   9500   9502 | T(s) 1.40 | Feas 54 375.28 384.49 | Inf 54 435.02 435.38 | Div 0.32 0.18 | Feas 0.85 1.00 | Pen 0.10 0.10
It  10000  10002 | T(s) 1.50 | Feas 62 375.28 378.85 | Inf 62 435.02 435.02 | Div 0.20 0.00 | Feas 0.77 1.00 | Pen 0.10 0.10
It  10500  10502 | T(s) 1.61 | Feas 33 375.28 404.73 | Inf 27 435.02 442.37 | Div 0.51 0.43 | Feas 0.77 1.00 | Pen 0.10 0.10
It  11000  11002 | T(s) 1.71 | Feas 30 375.28 405.15 | Inf 43 435.02 436.23 | Div 0.51 0.32 | Feas 0.76 1.00 | Pen 0.10 0.10
It  11500  11502 | T(s) 1.81 | Feas 42 375.28 390.04 | Inf 46 435.02 435.40 | Div 0.40 0.20 | Feas 0.90 1.00 | Pen 0.10 0.10
It  12000  12002 | T(s) 1.91 | Feas 36 375.28 395.97 | Inf 63 435.02 435.02 | Div 0.44 0.00 | Feas 0.78 1.00 | Pen 0.10 0.10
It  12500  12502 | T(s) 2.02 | Feas 47 375.28 386.66 | Inf 56 435.02 435.23 | Div 0.33 0.12 | Feas 0.85 1.00 | Pen 0.10 0.10
It  13000  13002 | T(s) 2.12 | Feas 50 375.28 384.45 | Inf 29 435.02 440.01 | Div 0.35 0.42 | Feas 0.85 1.00 | Pen 0.10 0.10
It  13500  13502 | T(s) 2.22 | Feas 48 375.28 386.47 | Inf 42 435.02 435.85 | Div 0.34 0.29 | Feas 0.86 1.00 | Pen 0.10 0.10
It  14000  14002 | T(s) 2.33 | Feas 46 375.28 384.50 | Inf 65 435.02 435.28 | Div 0.32 0.11 | Feas 0.76 1.00 | Pen 0.10 0.10
It  14500  14502 | T(s) 2.43 | Feas 56 375.28 380.79 | Inf 26 435.02 442.33 | Div 0.27 0.46 | Feas 0.83 1.00 | Pen 0.10 0.10
It  15000  15002 | T(s) 2.53 | Feas 61 375.28 378.57 | Inf 57 435.02 435.58 | Div 0.19 0.23 | Feas 0.86 1.00 | Pen 0.10 0.10
It  15500  15502 | T(s) 2.63 | Feas 33 375.28 399.57 | Inf 47 435.02 435.58 | Div 0.49 0.24 | Feas 0.85 1.00 | Pen 0.10 0.10
It  16000  16002 | T(s) 2.74 | Feas 45 375.28 387.88 | Inf 51 435.02 435.61 | Div 0.36 0.25 | Feas 0.84 1.00 | Pen 0.10 0.10
It  16500  16502 | T(s) 2.84 | Feas 49 375.28 384.89 | Inf 26 435.02 442.38 | Div 0.34 0.45 | Feas 0.81 1.00 | Pen 0.10 0.10
It  17000  17002 | T(s) 2.95 | Feas 44 375.28 388.83 | Inf 45 435.02 435.69 | Div 0.39 0.28 | Feas 0.84 1.00 | Pen 0.10 0.10
It  17500  17502 | T(s) 3.05 | Feas 57 375.28 384.47 | Inf 52 434.65 435.24 | Div 0.31 0.31 | Feas 0.80 1.00 | Pen 0.10 0.10
It  18000  18002 | T(s) 3.15 | Feas 62 375.28 378.71 | Inf 60 434.65 435.29 | Div 0.21 0.28 | Feas 0.86 1.00 | Pen 0.10 0.10
It  18500  18502 | T(s) 3.25 | Feas 60 375.28 380.16 | Inf 30 434.65 437.42 | Div 0.23 0.41 | Feas 0.81 1.00 | Pen 0.10 0.10
It  19000  19002 | T(s) 3.35 | Feas 30 375.28 404.54 | Inf 35 434.65 435.95 | Div 0.52 0.38 | Feas 0.71 1.00 | Pen 0.10 0.10
It  19500  19502 | T(s) 3.46 | Feas 29 375.28 402.98 | Inf 46 434.65 435.17 | Div 0.52 0.29 | Feas 0.81 1.00 | Pen 0.10 0.10
----- GENETIC ALGORITHM FINISHED AFTER 20000 ITERATIONS. TIME SPENT: 3.55706
