=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Li-n561/Vrp-Set-Li-n561-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 16 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 560 CLIENTS AND 16 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 2.14 | Feas 60 16702.46 16992.97 | NO-INFEASIBLE | Div 0.38 -1.00 | Feas 1.00 1.00 | Pen 23.80 0.85
It    500      6 | T(s) 6.04 | Feas 27 16225.02 16306.14 | NO-INFEASIBLE | Div 0.24 -1.00 | Feas 1.00 1.00 | Pen 10.56 0.38
It   1000     38 | T(s) 9.17 | Feas 35 16215.22 16221.60 | NO-INFEASIBLE | Div 0.17 -1.00 | Feas 1.00 1.00 | Pen 4.69 0.17
It   1500     55 | T(s) 11.74 | Feas 43 16212.83 16214.50 | NO-INFEASIBLE | Div 0.12 -1.00 | Feas 1.00 1.00 | Pen 2.08 0.10
It   2000    256 | T(s) 14.11 | Feas 51 16212.83 16212.95 | NO-INFEASIBLE | Div 0.09 -1.00 | Feas 1.00 1.00 | Pen 0.92 0.10
It   2500    348 | T(s) 16.48 | Feas 49 16212.83 16212.83 | Inf 16 16285.12 16325.81 | Div 0.09 0.14 | Feas 0.84 1.00 | Pen 0.41 0.10
It   3000    848 | T(s) 20.02 | Feas 38 16212.83 16213.88 | Inf 51 16127.54 16142.52 | Div 0.11 0.19 | Feas 0.59 1.00 | Pen 0.18 0.10
It   3500   1348 | T(s) 24.07 | Feas 59 16212.83 16212.83 | Inf 25 15993.41 16067.67 | Div 0.08 0.22 | Feas 0.25 1.00 | Pen 0.11 0.10
It   4000   1848 | T(s) 28.98 | Feas 43 16212.83 16213.11 | Inf 40 15535.73 15822.89 | Div 0.10 0.17 | Feas 0.25 1.00 | Pen 0.10 0.10
It   4500   2348 | T(s) 35.26 | Feas 63 16212.83 16212.83 | Inf 56 15550.93 15668.78 | Div 0.07 0.12 | Feas 0.36 1.00 | Pen 0.10 0.10
It   5000   2848 | T(s) 42.12 | Feas 60 16212.83 16213.14 | Inf 48 15687.73 15754.35 | Div 0.10 0.11 | Feas 0.14 1.00 | Pen 0.12 0.10
It   5500   3348 | T(s) 48.92 | Feas 58 16212.83 16213.44 | Inf 34 15858.32 15923.67 | Div 0.10 0.12 | Feas 0.23 1.00 | Pen 0.14 0.10
It   6000   3848 | T(s) 55.63 | Feas 46 16212.83 16212.85 | Inf 37 15523.92 15583.03 | Div 0.09 0.11 | Feas 0.24 1.00 | Pen 0.10 0.10
It   6500   4348 | T(s) 63.46 | Feas 61 16212.83 16212.90 | Inf 45 15858.32 15907.31 | Div 0.09 0.11 | Feas 0.15 1.00 | Pen 0.14 0.10
It   7000   4848 | T(s) 73.13 | Feas 29 16212.83 16213.49 | Inf 61 15880.21 15959.66 | Div 0.12 0.14 | Feas 0.24 1.00 | Pen 0.15 0.10
It   7500   5348 | T(s) 83.97 | Feas 27 16212.83 16215.91 | Inf 37 15569.40 15644.37 | Div 0.13 0.12 | Feas 0.19 1.00 | Pen 0.11 0.10
It   8000   5848 | T(s) 94.63 | Feas 38 16212.83 16213.02 | Inf 54 15675.92 15715.79 | Div 0.09 0.10 | Feas 0.24 1.00 | Pen 0.12 0.10
It   8500   6348 | T(s) 105.10 | Feas 62 16212.83 16213.16 | Inf 25 15534.11 15681.25 | Div 0.10 0.15 | Feas 0.21 1.00 | Pen 0.10 0.10
It   9000   6848 | T(s) 116.26 | Feas 29 16212.83 16216.57 | Inf 54 15683.26 15739.41 | Div 0.12 0.10 | Feas 0.23 1.00 | Pen 0.12 0.10
It   9500   7348 | T(s) 126.95 | Feas 53 16212.83 16213.02 | Inf 34 15702.16 15776.67 | Div 0.10 0.12 | Feas 0.23 1.00 | Pen 0.12 0.10
It  10000   7848 | T(s) 135.49 | Feas 39 16212.83 16212.97 | Inf 52 15510.33 15602.02 | Div 0.11 0.12 | Feas 0.22 1.00 | Pen 0.10 0.10
It  10500   8348 | T(s) 143.15 | Feas 59 16212.83 16213.08 | Inf 53 15663.27 15705.86 | Div 0.11 0.10 | Feas 0.18 1.00 | Pen 0.12 0.10
It  11000   8848 | T(s) 150.13 | Feas 55 16212.83 16212.83 | Inf 28 15540.06 15630.57 | Div 0.09 0.12 | Feas 0.33 1.00 | Pen 0.10 0.10
It  11500   9348 | T(s) 157.28 | Feas 42 16212.83 16213.30 | Inf 65 15700.70 15767.71 | Div 0.13 0.12 | Feas 0.17 1.00 | Pen 0.12 0.10
It  12000   9848 | T(s) 164.69 | Feas 30 16212.83 16215.72 | Inf 54 15712.34 15756.16 | Div 0.14 0.10 | Feas 0.20 1.00 | Pen 0.13 0.10
It  12500  10348 | T(s) 171.59 | Feas 60 16212.83 16213.11 | Inf 43 15566.02 15625.87 | Div 0.12 0.10 | Feas 0.27 1.00 | Pen 0.11 0.10
It  13000  10848 | T(s) 179.52 | Feas 65 16212.83 16212.83 | Inf 32 15751.75 15848.21 | Div 0.10 0.14 | Feas 0.25 1.00 | Pen 0.13 0.10
It  13500  11348 | T(s) 187.25 | Feas 44 16212.83 16215.18 | Inf 25 15772.04 15850.81 | Div 0.15 0.13 | Feas 0.21 1.00 | Pen 0.14 0.10
It  14000  11848 | T(s) 195.31 | Feas 57 16212.83 16214.64 | Inf 58 15792.75 15825.50 | Div 0.14 0.08 | Feas 0.19 1.00 | Pen 0.14 0.10
It  14500  12348 | T(s) 206.46 | Feas 56 16212.83 16215.13 | Inf 48 15792.75 15821.55 | Div 0.15 0.08 | Feas 0.22 1.00 | Pen 0.14 0.10
It  15000  12848 | T(s) 216.68 | Feas 45 16212.83 16213.84 | Inf 30 15792.75 15840.49 | Div 0.14 0.11 | Feas 0.20 1.00 | Pen 0.14 0.10
It  15500  13348 | T(s) 227.17 | Feas 31 16212.83 16213.93 | Inf 45 15652.32 15691.83 | Div 0.14 0.09 | Feas 0.32 1.00 | Pen 0.12 0.10
It  16000  13848 | T(s) 237.83 | Feas 61 16212.83 16213.26 | Inf 30 15652.31 15686.37 | Div 0.12 0.09 | Feas 0.17 1.00 | Pen 0.12 0.10
It  16500  14348 | T(s) 248.56 | Feas 56 16212.83 16213.22 | Inf 57 15656.07 15735.22 | Div 0.12 0.11 | Feas 0.14 1.00 | Pen 0.12 0.10
It  17000  14848 | T(s) 259.26 | Feas 31 16212.83 16222.55 | Inf 38 15656.07 15737.39 | Div 0.16 0.12 | Feas 0.21 1.00 | Pen 0.12 0.10
It  17500  15348 | T(s) 269.61 | Feas 55 16212.83 16212.92 | Inf 32 15656.07 15765.51 | Div 0.12 0.14 | Feas 0.17 1.00 | Pen 0.12 0.10
It  18000  15848 | T(s) 280.26 | Feas 29 16212.83 16215.89 | Inf 26 15517.20 15595.65 | Div 0.16 0.12 | Feas 0.18 1.00 | Pen 0.10 0.10
It  18500  16348 | T(s) 289.89 | Feas 34 16212.83 16214.32 | Inf 26 15861.97 15908.39 | Div 0.15 0.11 | Feas 0.11 1.00 | Pen 0.15 0.10
It  19000  16848 | T(s) 297.21 | Feas 59 16212.83 16212.83 | Inf 49 15693.21 15725.68 | Div 0.10 0.09 | Feas 0.21 1.00 | Pen 0.12 0.10
It  19500  17348 | T(s) 304.50 | Feas 41 16212.83 16214.38 | Inf 41 15884.48 15935.10 | Div 0.15 0.11 | Feas 0.25 1.00 | Pen 0.15 0.10
It  20000  17848 | T(s) 311.17 | Feas 63 16212.83 16213.07 | Inf 42 15712.34 15764.00 | Div 0.11 0.10 | Feas 0.25 1.00 | Pen 0.13 0.10
It  20500  18348 | T(s) 317.81 | Feas 35 16212.83 16212.97 | Inf 62 15582.60 15627.10 | Div 0.12 0.10 | Feas 0.16 1.00 | Pen 0.11 0.10
It  21000  18848 | T(s) 325.33 | Feas 51 16212.83 16212.92 | Inf 50 15582.60 15656.45 | Div 0.11 0.11 | Feas 0.22 1.00 | Pen 0.11 0.10
It  21500  19348 | T(s) 332.45 | Feas 45 16212.83 16212.97 | Inf 55 15751.75 15800.55 | Div 0.12 0.10 | Feas 0.18 1.00 | Pen 0.13 0.10
