=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n524/Vrp-Set-X-n524-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 181 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 523 CLIENTS AND 181 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 1.46 | NO-FEASIBLE | Inf 60 146378.86 146960.14 | Div -1.00 0.54 | Feas 0.00 1.00 | Pen 16.45 0.85
It    500    180 | T(s) 5.70 | Feas 19 157893.36 159805.44 | Inf 27 153003.96 154421.85 | Div 0.37 0.46 | Feas 0.00 1.00 | Pen 40.94 0.38
It   1000     92 | T(s) 9.34 | Feas 36 157019.63 157681.38 | Inf 58 155752.50 156396.10 | Div 0.33 0.36 | Feas 0.12 1.00 | Pen 101.87 0.17
It   1500    144 | T(s) 12.59 | Feas 27 156459.21 157106.12 | Inf 28 155704.32 156683.84 | Div 0.34 0.38 | Feas 0.12 1.00 | Pen 149.63 0.10
It   2000    114 | T(s) 15.68 | Feas 43 156044.18 156572.63 | Inf 45 155130.34 155635.18 | Div 0.31 0.33 | Feas 0.16 1.00 | Pen 127.19 0.10
It   2500     52 | T(s) 18.61 | Feas 38 155762.10 156132.29 | Inf 26 155093.96 155498.58 | Div 0.30 0.30 | Feas 0.32 1.00 | Pen 129.73 0.10
It   3000    324 | T(s) 21.59 | Feas 27 155500.70 156299.03 | Inf 65 155106.50 155286.84 | Div 0.32 0.25 | Feas 0.14 1.00 | Pen 155.68 0.10
It   3500    433 | T(s) 24.38 | Feas 50 155450.72 155621.15 | Inf 37 154860.59 155113.70 | Div 0.25 0.27 | Feas 0.24 1.00 | Pen 132.33 0.10
It   4000     32 | T(s) 27.28 | Feas 38 155359.58 155548.22 | Inf 50 154670.80 154787.73 | Div 0.27 0.21 | Feas 0.27 1.00 | Pen 114.73 0.10
It   4500     35 | T(s) 30.19 | Feas 31 155318.89 155430.56 | Inf 55 154467.41 154536.55 | Div 0.25 0.24 | Feas 0.32 1.00 | Pen 84.55 0.10
It   5000    180 | T(s) 33.10 | Feas 42 155297.64 155444.43 | Inf 45 154513.81 154711.19 | Div 0.26 0.26 | Feas 0.13 1.00 | Pen 103.49 0.10
It   5500    258 | T(s) 35.97 | Feas 46 155293.64 155330.47 | Inf 62 154358.54 154423.76 | Div 0.21 0.18 | Feas 0.27 1.00 | Pen 87.96 0.10
It   6000    134 | T(s) 38.80 | Feas 54 155261.74 155312.02 | Inf 58 154352.95 154362.78 | Div 0.20 0.16 | Feas 0.18 1.00 | Pen 87.96 0.10
It   6500    401 | T(s) 41.69 | Feas 44 155259.64 155305.97 | Inf 50 154423.32 154556.05 | Div 0.21 0.22 | Feas 0.20 1.00 | Pen 105.56 0.10
It   7000    321 | T(s) 44.53 | Feas 36 155245.33 155297.85 | Inf 41 154431.04 154471.70 | Div 0.20 0.20 | Feas 0.23 1.00 | Pen 107.67 0.10
It   7500     73 | T(s) 47.31 | Feas 36 155244.08 155261.47 | Inf 50 154207.38 154303.48 | Div 0.16 0.23 | Feas 0.20 1.00 | Pen 79.35 0.10
It   8000    121 | T(s) 50.15 | Feas 65 155233.30 155246.10 | Inf 39 154358.57 154494.02 | Div 0.13 0.23 | Feas 0.25 1.00 | Pen 95.22 0.10
It   8500    397 | T(s) 52.87 | Feas 65 155228.49 155241.03 | Inf 40 154275.84 154327.57 | Div 0.13 0.18 | Feas 0.35 1.00 | Pen 82.55 0.10
It   9000    187 | T(s) 55.65 | Feas 54 155226.03 155238.40 | Inf 59 153946.56 154159.33 | Div 0.14 0.19 | Feas 0.21 1.00 | Pen 71.57 0.10
It   9500    171 | T(s) 58.57 | Feas 26 155214.99 155343.19 | Inf 60 154197.19 154297.36 | Div 0.20 0.22 | Feas 0.18 1.00 | Pen 85.89 0.10
It  10000    455 | T(s) 61.55 | Feas 30 155212.36 155245.94 | Inf 52 153831.90 154187.91 | Div 0.15 0.23 | Feas 0.16 1.00 | Pen 87.60 0.10
It  10500    390 | T(s) 64.50 | Feas 31 155207.54 155257.03 | Inf 47 153809.07 154024.48 | Div 0.16 0.21 | Feas 0.27 1.00 | Pen 89.36 0.10
It  11000    237 | T(s) 67.45 | Feas 44 155206.21 155223.66 | Inf 31 153727.47 153843.81 | Div 0.13 0.22 | Feas 0.24 1.00 | Pen 89.36 0.10
It  11500    240 | T(s) 70.24 | Feas 41 155204.52 155219.49 | Inf 61 153712.71 153746.63 | Div 0.12 0.17 | Feas 0.18 1.00 | Pen 89.36 0.10
It  12000    409 | T(s) 73.09 | Feas 49 155201.75 155213.10 | Inf 51 153730.93 153765.21 | Div 0.11 0.16 | Feas 0.27 1.00 | Pen 91.14 0.10
It  12500    316 | T(s) 75.94 | Feas 47 155201.38 155207.13 | Inf 45 153727.33 153749.87 | Div 0.08 0.16 | Feas 0.24 1.00 | Pen 91.14 0.10
It  13000    816 | T(s) 78.78 | Feas 61 155201.38 155202.65 | Inf 65 153527.48 153545.11 | Div 0.05 0.14 | Feas 0.24 1.00 | Pen 79.02 0.10
It  13500    220 | T(s) 81.53 | Feas 34 155201.36 155204.49 | Inf 63 153549.99 153575.29 | Div 0.07 0.14 | Feas 0.18 1.00 | Pen 80.60 0.10
It  14000     29 | T(s) 84.25 | Feas 29 155199.66 155227.84 | Inf 50 153516.30 153571.43 | Div 0.08 0.14 | Feas 0.19 1.00 | Pen 82.21 0.10
It  14500    323 | T(s) 87.18 | Feas 41 155199.49 155211.38 | Inf 48 154091.52 154104.30 | Div 0.09 0.10 | Feas 0.12 1.00 | Pen 118.39 0.10
It  15000     45 | T(s) 90.02 | Feas 55 155198.74 155201.45 | Inf 29 153782.64 154049.06 | Div 0.07 0.22 | Feas 0.23 1.00 | Pen 100.63 0.10
It  15500    112 | T(s) 92.98 | Feas 31 155198.15 155230.34 | Inf 59 153768.59 153836.43 | Div 0.12 0.16 | Feas 0.19 1.00 | Pen 100.63 0.10
